#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
03D1au,42.26879883,0.1184,0.5042999983,0.5030890107,0.0005000000237,36.04320908,-4.03746891,SNLS,H,yes
03D1ax,42.22769928,0.1172999963,0.4959999919,0.4948010147,0.001000000047,36.09728622,-4.720774174,SNLS,H,yes
03D1co,43.37139893,0.1969999969,0.67900002,0.6776679754,0.001000000047,36.56774902,-4.935050011,SNLS,H,yes
03D1ew,43.68980026,0.1773999929,0.8679999709,0.8665009737,0.009999999776,36.05879593,-4.66585207,SNLS,S,no
03D1fq,43.70000076,0.1775999963,0.8000000119,0.7985730171,0.009999999776,36.73193359,-4.302217007,SNLS,S,no
03D3ay,41.62340164,0.1248999983,0.3709000051,0.3714410067,0.0003000000142,214.493576,52.48261261,SNLS,H,yes
03D3bl,41.44940186,0.1142999977,0.3553000093,0.3558180034,0.0005000000237,214.9824982,53.09740067,SNLS,H,yes
03D4ag,40.74620056,0.1079000011,0.2849999964,0.2836070061,0.001000000047,333.6909485,-17.73965454,SNLS,H,yes
03D4au,42.57249832,0.1415999979,0.4679999948,0.4664100111,0.001000000047,334.0413513,-18.07759094,SNLS,H,yes
03D4cx,43.74470139,0.1638000011,0.949000001,0.9468839765,0.009999999776,333.640625,-17.58751106,SNLS,S,no
03D4cz,43.13729858,0.238199994,0.6949999928,0.6931610107,0.001000000047,334.174408,-17.92627144,SNLS,H,yes
03D4di,43.75630188,0.1719000041,0.898999989,0.896938026,0.001000000047,333.5426636,-17.50661659,SNLS,H,yes
03D4fd,43.55390167,0.1187999994,0.7910000086,0.7890490294,0.001000000047,334.0602112,-17.39557266,SNLS,H,yes
03D4gg,42.66799927,0.1576000005,0.5920000076,0.5902760029,0.001000000047,334.16745,-18.16445732,SNLS,H,yes
04D1dc,39.98479843,0.1045999974,0.2109999955,0.210036993,0.001000000047,36.57693481,-4.31196785,SNLS,H,yes
04D1ff,43.45349884,0.1444000006,0.8600000143,0.8585199714,0.009999999776,36.410923,-4.902630806,SNLS,S,no
04D1hx,42.51810074,0.1199000031,0.5600000024,0.5587520003,0.001000000047,36.17706299,-4.790326118,SNLS,H,yes
04D1iv,44.06990051,0.1489000022,0.9980000257,0.9963979721,0.001000000047,36.20021057,-4.152558804,SNLS,H,yes
04D1jg,42.69440079,0.1248999983,0.5842000246,0.5829380155,0.0005000000237,36.55231857,-4.134799957,SNLS,H,yes
04D1ks,43.18629837,0.1497000009,0.7979999781,0.7965589762,0.009999999776,36.03964996,-4.978721142,SNLS,S,no
04D1ow,43.75740051,0.144600004,0.9150000215,0.9134799838,0.009999999776,36.67789841,-4.306190014,SNLS,S,no
