host ID mu dmu m dm
N1316 1980N 31.46 0.04 12.08 0.06
N4536 1981B 30.96 0.05 11.64 0.04
N1316 1981D 31.46 0.04 11.99 0.17
N3627 1989B 30.22 0.04 11.16 0.07
N4526 1994D 31.00 0.07 11.76 0.04
N3370 1994ae 32.27 0.05 12.94 0.05
N3021 1995al 32.22 0.05 13.02 0.05
N3368 1998bu 30.31 0.04 11.01 0.06
N1448 2001el 31.32 0.06 12.30 0.04
N1309 2002fk 32.50 0.07 13.33 0.04
N1316 2006dd 31.46 0.04 12.38 0.03
N5584 2007af 31.82 0.1 12.72 0.05
N1404 2007on 31.42 0.05 12.39 0.07
N4038 2007sr 31.68 0.05 12.30 0.15
M101 2011fe 29.08 0.04 9.82 0.03
N1404 2011iv 31.42 0.05 12.03 0.06
N4424 2012cg 31.00 0.06 11.72 0.06
N1365 2012fr 31.36 0.05 12.09 0.03
